territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Laguna,2019-07,2018-07,1380.79,0.0,475931.08,222.1,0.0,0.0,1158.69,5.216974,,False
Marinduque,2019-07,2018-07,75.0,0.0,21405.0,420.0,0.0,0.0,-345.0,-0.821429,,False
Mindoro,2019-07,2018-07,123.0,0.0,9310.2,,,,,,,False
Quezon,2019-07,2018-07,773.0,0.0,232373.22,571.0,0.0,0.0,202.0,0.353765,,False
Albay,2019-08,2018-08,74.0,0.0,8963.77,,,,,,,False
Batangas,2019-08,2018-08,1142.33,0.0,439421.14,578.0,0.0,0.0,564.33,0.976349,,False
Camarines Norte,2019-08,2018-08,191.4,0.0,77220.92,178.6,0.0,0.0,12.8,0.071669,,False
Camarines Sur,2019-08,2018-08,278.0,0.0,70754.38,401.65,0.0,0.0,-123.65,-0.307855,,False
Cavite,2019-08,2018-08,820.0,0.0,167187.96,218.0,0.0,0.0,602.0,2.761468,,False
Laguna,2019-08,2018-08,686.0,0.0,212885.57,857.8,0.0,0.0,-171.8,-0.20028,,False
Marinduque,2019-08,2018-08,128.0,0.0,11158.0,168.0,0.0,0.0,-40.0,-0.238095,,False
Quezon,2019-08,2018-08,519.43,0.0,120299.89,574.0,0.0,0.0,-54.57,-0.09507,,False
Albay,2019-09,2018-09,84.0,0.0,8174.58,,,,,,,False
Batangas,2019-09,2018-09,875.0,0.0,244387.53,1859.0,0.0,0.0,-984.0,-0.529317,,False
Camarines Norte,2019-09,2018-09,311.2,0.0,142159.59,232.0,0.0,0.0,79.2,0.341379,,False
Camarines Sur,2019-09,2018-09,294.0,0.0,34729.33,362.75,0.0,0.0,-68.75,-0.189524,,False
Cavite,2019-09,2018-09,518.0,0.0,212596.59,391.0,0.0,0.0,127.0,0.324808,,False
Laguna,2019-09,2018-09,249.3,0.0,68592.87,384.0,0.0,0.0,-134.7,-0.350781,,False
Marinduque,2019-09,2018-09,135.0,0.0,44363.86,105.0,0.0,0.0,30.0,0.285714,,False
Mindoro,2019-09,2018-09,229.0,0.0,8904.37,,,,,,,False
Quezon,2019-09,2018-09,629.0,0.0,210353.78,438.0,0.0,0.0,191.0,0.436073,,False
Batangas,2020-01,2019-01,120.0,55416.0,35777.97,1728.0,0.0,55416.0,-1608.0,-0.930556,,False
Camarines Norte,2020-01,2019-01,197.8,183725.0,104326.64,208.18,0.0,183725.0,-10.38,-0.049861,,False
Camarines Sur,2020-01,2019-01,141.0,54891.0,35394.61,528.0,0.0,54891.0,-387.0,-0.732955,,False
