MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
13102,2017-04-26,CAM NORTE,#REF!,2,1165,2330,,0,2,333,666,1664
13103,2017-05-03,CAM NORTE,#REF!,1,1900,1900,,0,1,595,595,1305
13104,2017-05-05,CAM NORTE,#REF!,1,1000,1000,,0,1,270,270,730
13104,2017-05-05,CAM NORTE,#REF!,1,2800,2800,,0,1,1173.6,1173.6,1626.4
13104,2017-05-05,CAM NORTE,#REF!,1,1600,1600,,0,1,480.9,480.9,1119.1
13104,2017-05-05,CAM NORTE,#REF!,1,1425,1425,,0,1,445,445,980
13104,2017-05-05,CAM NORTE,#REF!,1,1165,1165,,0,1,333,333,832
13105,2017-05-05,CAM NORTE,#REF!,1,2400,2400,,0,1,553,553,1847
13106,2017-05-05,CAM NORTE,#REF!,2,850,1700,,0,2,155,310,1390
13106,2017-05-05,CAM NORTE,#REF!,3,450,1350,,0,3,148,444,906
13106,2017-05-05,CAM NORTE,#REF!,10,180,1800,,0,10,56,560,1240
13106,2017-05-05,CAM NORTE,#REF!,6,88,528,,0,6,24.47,146.82,381.18
13106,2017-05-05,CAM NORTE,#REF!,6,80,480,,0,6,24.47,146.82,333.18
13107,2017-05-09,CAM NORTE,#REF!,1,3000,3000,,0,1,750,750,2250
13107,2017-05-09,CAM NORTE,#REF!,0.1,,0,,0,0.1,750,75,-75
13108,2017-05-09,CAM NORTE,#REF!,1,800,800,,0,1,100,100,700
13108,2017-05-09,CAM NORTE,#REF!,0.1,,0,,0,0.1,100,10,-10
13110,2017-05-09,CAM NORTE,#REF!,3,440,1320,,0,3,139.45,418.34999999999997,901.6500000000001
13110,2017-05-09,CAM NORTE,#REF!,3,190,570,,0,3,75.6,226.79999999999998,343.20000000000005
13110,2017-05-09,CAM NORTE,#REF!,3,310,930,,0,3,129.7,389.09999999999997,540.9000000000001
13110,2017-05-09,CAM NORTE,#REF!,6,198,1188,,0,6,65,390,798
13111,2017-05-09,CAM NORTE,#REF!,1,1000,1000,,0,1,270,270,730
13112,2017-05-09,CAM NORTE,#REF!,2,1800,3600,,0,2,535,1070,2530
13113,2017-05-09,CAM NORTE,#REF!,2,750,1500,,0,2,227.5,455,1045
13114,2017-05-09,CAM NORTE,#REF!,2,1200,2400,,0,2,351,702,1698
13115,2017-05-10,CAM NORTE,#REF!,5,2100,10500,,0,5,685,3425,7075
13115,2017-05-10,CAM NORTE,#REF!,5,1800,9000,,0,5,535,2675,6325
13115,2017-05-10,CAM NORTE,#REF!,4,750,3000,,0,4,227.5,910,2090
13115,2017-05-10,CAM NORTE,#REF!,10,198,1980,,0,10,65,650,1330
13115,2017-05-10,CAM NORTE,#REF!,1,1425,1425,,0,1,445,445,980
13116,2017-05-16,CAM NORTE,#REF!,1,750,750,,0,1,227.5,227.5,522.5
13117,2017-05-16,CAM NORTE,#REF!,2,1425,2850,,0,2,445,890,1960
13119,2017-05-20,CAM NORTE,#REF!,1,1800,1800,,0,1,540,540,1260
13120,2017-05-20,CAM NORTE,#REF!,2,680,1360,,0,2,187.5,375,985
13120,2017-05-20,CAM NORTE,#REF!,1,3000,3000,,0,1,1450,1450,1550
13120,2017-05-20,CAM NORTE,#REF!,1,1800,1800,,0,1,535,535,1265
13120,2017-05-20,CAM NORTE,#REF!,3,210,630,,0,3,65,195,435
13121,2017-05-20,CAM NORTE,#REF!,1,750,750,,0,1,227.5,227.5,522.5
13122,2017-05-22,CAM NORTE,#REF!,2,1166.5,2333,,0,2,333,666,1667
13123,2017-05-26,CAM NORTE,#REF!,6,58,348,,0,6,16.8,100.80000000000001,247.2
13123,2017-05-26,CAM NORTE,#REF!,6,78,468,,0,6,22.75,136.5,331.5
13123,2017-05-26,CAM NORTE,#REF!,5,1800,9000,,0,5,535,2675,6325
13124,2017-05-31,CAM NORTE,#REF!,2,750,1500,,0,2,227.5,455,1045
13124,2017-05-31,CAM NORTE,#REF!,2,2100,4200,,0,2,685,1370,2830
13125,2017-06-01,CAM NORTE,#REF!,20,128,2560,,0,20,45,900,1660
13125,2017-06-01,CAM NORTE,#REF!,2,,0,,0,2,45,90,-90
13126,2017-06-01,CAM NORTE,#REF!,1,2800,2800,,0,1,1173.6,1173.6,1626.4
13126,2017-06-01,CAM NORTE,#REF!,1,700,700,,0,1,250,250,450
13126,2017-06-01,CAM NORTE,#REF!,1,975,975,,0,1,307,307,668
13127,2017-06-01,CAM NORTE,#REF!,1,850,850,,0,1,155,155,695
13127,2017-06-01,CAM NORTE,#REF!,1,650,650,,0,1,187.5,187.5,462.5
13226,2017-05-03,BATANGAS,#REF!,4,900,3600,0.1,360,4,300,1200,2040
13229,2017-05-03,BATANGAS,#REF!,2,780,1560,0.1,156,2,227.5,455,949
13230,2017-05-03,BATANGAS,#REF!,10,600,6000,0.1,600,10,158,1580,3820
13231,2017-05-03,BATANGAS,#REF!,1,3200,3200,0.1,320,1,860,860,2020
13232,2017-05-03,BATANGAS,#REF!,12,180,2160,0.1,216,12,48,576,1368
13233,2017-05-03,BATANGAS,#REF!,10,84,840,0.1,84,10,24.5,245,511
13234,2017-05-03,BATANGAS,#REF!,2,3500,7000,0.1,700,2,650,1300,5000
13235,2017-05-03,BATANGAS,#REF!,10,48,480,,0,10,16.8,168,312
13236,2017-05-03,BATANGAS,#REF!,10,67,670,,0,10,23.45,234.5,435.5
13237,2017-05-03,BATANGAS,#REF!,4,180,720,,0,4,60,240,480
13238,2017-05-03,BATANGAS,#REF!,10,150,1500,,0,10,55,550,950
13239,2017-05-03,BATANGAS,#REF!,2,900,1800,,0,2,300,600,1200
13240,2017-05-03,BATANGAS,#REF!,2,3360,6720,0.1,672,2,1173.6,2347.2,3700.8
13241,2017-05-03,BATANGAS,#REF!,2,3360,6720,0.1,672,2,1173.6,2347.2,3700.8
13242,2017-05-04,MINDORO,#REF!,8,150,1200,,0,8,48.65,389.2,810.8
