period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-04,MULTI GROW 30ML DROPS,Camarines Norte,1,1,1,0,30.0,2100.0,1400.0,3500.0,0.0,3500.0
2021-04,PHYTOMEN 10MG/ML,Quezon,2,1,2,0,60.0,8700.0,38100.0,46800.0,0.0,46800.0
2021-04,RESPINAL 500MG,Camarines Norte,2,1,2,0,7.0,2975.0,8125.0,11100.0,0.0,11100.0
2021-04,SOLUNATE 84MG/ML (8.4%),Camarines Norte,1,1,1,0,0.4,1840.0,2960.0,4800.0,0.0,4800.0
2021-04,SOLVAPRINE 10MG,Quezon,1,1,1,0,2.0,293.6,1246.4,1540.0,660.0,2200.0
2021-04,TRIVASC 35MG MR,Cavite,1,1,1,0,5.0,2187.5,4937.5,7125.0,0.0,7125.0
2021-04,TRIVASC 35MG MR,Quezon,3,1,3,0,33.0,14437.5,14520.0,28957.5,15592.5,44550.0
2021-04,TRIZEF 100MG,Batangas,1,1,1,0,2.0,2545.46,8254.54,10800.0,0.0,10800.0
2021-04,VOXOLL 30MG TAB,Quezon,1,1,1,0,2.0,336.0,964.0,1300.0,0.0,1300.0
2021-04,XYNETRIX CHEWABLE TABLET,Quezon,1,1,1,0,2.0,900.0,780.0,1680.0,720.0,2400.0
2021-05,AFENAX 100MG,Batangas,1,1,1,0,2.0,1190.0,2770.0,3960.0,0.0,3960.0
2021-05,AMINOSOL 25MG/ML,Quezon,1,1,1,0,5.0,661.5,2663.5,3325.0,0.0,3325.0
2021-05,ANEROCIN 300MG,Batangas,1,1,1,0,3.0,2937.0,7263.0,10200.0,0.0,10200.0
2021-05,ATOVAS 20MG,Quezon,3,1,3,0,89.0,16020.0,48480.0,64500.0,0.0,64500.0
2021-05,BENERVA FORTE CAP,Marinduque,3,1,3,0,33.0,17325.0,24255.0,41580.0,9240.0,50820.0
2021-05,BENERVA FORTE CAP,Quezon,1,1,1,0,5.0,2625.0,2380.0,5005.0,2695.0,7700.0
2021-05,BUPIRIGHT AMPULE,Camarines Norte,5,1,5,0,119.0,22015.0,57160.0,79175.0,0.0,79175.0
2021-05,CATAMED 75MCG TAB,Cavite,1,1,1,0,3.0,1497.0,696.75,2193.75,0.0,2193.75
2021-05,CENDALEX 100MG/ML DROPS,Quezon,2,1,2,0,24.0,744.0,1602.0,2346.0,414.0,2760.0
2021-05,CEPROTRON 500MG,Batangas,2,1,2,0,10.0,5500.0,13750.0,19250.0,0.0,19250.0
2021-05,CINNABLOC 25MG,Batangas,1,1,1,0,3.0,399.0,1251.0,1650.0,0.0,1650.0
2021-05,CINNABLOC 25MG,Quezon,1,1,1,0,5.0,665.0,1260.0,1925.0,825.0,2750.0
2021-05,CIXTOR-Z 500MG,Quezon,4,1,4,0,9.0,1890.0,2740.5,4630.5,1984.5,6615.0
2021-05,CLOVAS 75MG,Quezon,3,1,3,0,76.0,26220.0,73680.0,99900.0,0.0,99900.0
2021-05,CORBAL 100MG,Cavite,2,1,2,0,10.0,2100.0,6900.0,9000.0,0.0,9000.0
