territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Batangas,2020-08,2019-08,182.0,44773.65,1142.33,281416.08,-0.840677,-0.840899,False
Camarines Sur,2020-08,2019-08,159.0,29398.11,278.0,44102.62,-0.428058,-0.333416,False
Cavite,2020-08,2019-08,474.0,50451.17,820.0,92747.7,-0.421951,-0.456039,False
Laguna,2020-08,2019-08,23.0,9695.67,686.0,87984.77,-0.966472,-0.889803,False
Marinduque,2020-08,2019-08,156.0,36193.83,128.0,15472.0,0.21875,1.339312,False
Quezon,2020-08,2019-08,46.0,15569.1,519.43,72266.33,-0.911441,-0.784559,False
Batangas,2020-09,2019-09,83.0,16488.72,875.0,113960.47,-0.905143,-0.855312,False
Cavite,2020-09,2019-09,479.0,60532.98,518.0,94035.27,-0.07529,-0.356274,False
Marinduque,2020-09,2019-09,122.0,30816.82,135.0,31281.24,-0.096296,-0.014847,False
Quezon,2020-09,2019-09,186.0,47585.5,629.0,114416.22,-0.704293,-0.584102,False
Batangas,2020-10,2019-10,55.0,16548.33,,,,,False
Camarines Norte,2020-10,2019-10,457.6,156895.03,,,,,False
Camarines Sur,2020-10,2019-10,287.64,63811.11,,,,,False
Cavite,2020-10,2019-10,178.0,17102.67,,,,,False
Laguna,2020-10,2019-10,1445.67,140461.9,,,,,False
Quezon,2020-10,2019-10,193.0,51804.39,,,,,False
Batangas,2020-11,2019-11,234.0,67434.46,,,,,False
Camarines Norte,2020-11,2019-11,85.8,37946.94,,,,,False
Cavite,2020-11,2019-11,220.0,36146.09,,,,,False
Laguna,2020-11,2019-11,264.2,34904.24,,,,,False
Marinduque,2020-11,2019-11,91.0,27627.95,,,,,False
Quezon,2020-11,2019-11,765.0,135286.27,,,,,False
Batangas,2020-12,2019-12,49.0,13045.12,,,,,False
Camarines Sur,2020-12,2019-12,63.0,7060.25,,,,,False
Cavite,2020-12,2019-12,167.33,68099.23,,,,,False
Quezon,2020-12,2019-12,289.0,73657.62,,,,,False
Batangas,2021-01,2020-01,146.46,42423.05,120.0,19638.03,0.2205,1.16025,False
Camarines Norte,2021-01,2020-01,186.0,70748.79,197.8,79398.36,-0.059656,-0.108939,False
Camarines Sur,2021-01,2020-01,149.0,23702.17,141.0,19496.39,0.056738,0.215721,False
Cavite,2021-01,2020-01,77.0,10108.87,298.0,41615.2,-0.741611,-0.757087,False
Laguna,2021-01,2020-01,74.0,27848.02,102.0,4857.1,-0.27451,4.733466,False
Marinduque,2021-01,2020-01,427.0,58463.16,610.0,63530.32,-0.3,-0.07976,False
Quezon,2021-01,2020-01,318.0,85558.93,512.0,101762.53,-0.378906,-0.15923,False
Batangas,2021-02,2020-02,53.0,33088.23,170.0,54049.78,-0.688235,-0.387819,False
Camarines Norte,2021-02,2020-02,104.8,35773.3,322.2,120204.4,-0.674736,-0.702396,False
Camarines Sur,2021-02,2020-02,213.0,18600.52,452.41,54076.19,-0.529188,-0.656031,False
Cavite,2021-02,2020-02,265.0,43152.71,259.0,36090.62,0.023166,0.195677,False
Laguna,2021-02,2020-02,76.0,19270.0,6.0,421.93,11.666667,44.671083,False
Quezon,2021-02,2020-02,415.0,96479.64,612.63,113148.19,-0.322593,-0.147316,False
Batangas,2021-03,2020-03,133.0,24660.25,173.0,48511.71,-0.231214,-0.491664,False
Camarines Norte,2021-03,2020-03,81.4,22503.0,73.0,5774.61,0.115068,2.896887,False
Camarines Sur,2021-03,2020-03,86.0,12357.8,801.38,74826.1,-0.892685,-0.834846,False
Cavite,2021-03,2020-03,32.0,3907.32,264.0,51604.36,-0.878788,-0.924283,False
Laguna,2021-03,2020-03,39.0,7090.0,24.29,8171.8,0.605599,-0.132382,False
Marinduque,2021-03,2020-03,90.0,31623.9,129.0,21598.43,-0.302326,0.464176,False
Quezon,2021-03,2020-03,395.1,85721.76,283.0,96202.94,0.396113,-0.108949,False
Batangas,2021-04,2020-04,53.0,12818.46,149.0,31950.83,-0.644295,-0.598807,False
Camarines Norte,2021-04,2020-04,231.4,49516.49,,,,,False
Camarines Sur,2021-04,2020-04,46.0,6415.6,10.0,6150.0,3.6,0.043187,False
Cavite,2021-04,2020-04,137.4,30355.61,232.0,55915.99,-0.407759,-0.457121,False
