source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2024s.csv,2024-12-31,2865,2024-12-31,Government,"PAGBILAO # 66,564.5",1,7247,7247,0,7247,44374,44374,37127,-0.0512,valid,
2024s.csv,2024-12-31,2848,2024-12-31,Government,"PAGBILAO #65,520",1,65385,65385,0,65385,38904.08,38904.08,26480.92,0.4,valid,
2024s.csv,2024-12-31,2841,2024-12-31,Government,"QMC # 108,880",1,97268,97268,0,97268,61282.68,61282.68,35985.32,0.37,valid,
2024s.csv,2024-12-31,2843,2024-12-31,Government,"QMC # 30,270",1,30000,30000,0,30000,16802,16802,13198,0.44,valid,
2025s.csv,2025-06-12,3379,2025-06-12,Government,"PAGBILAO # 145,973",1,145669.1,145669.1,0,145669.1,73797,73797,71872.1,0.49,valid,
2025s.csv,2025-09-20,2486,2025-09-20,Government,"PAGBILAO # 107,500.00",1,107125,107125,0,107125,70488.25,70488.25,36636.75,0.34,valid,
2025s.csv,2025-09-20,2480,2025-09-20,Government,"PESO # 3,450,000.00",1,3448500,3448500,0,3448500,2269113,2269113,1179387,0.34,valid,
2025s.csv,2025-09-20,2484,2025-09-20,Government,"PPDC # 15,000.00",1,14725,14725,0,14725,9689.05,9689.05,5035.95,0.34,valid,
2025s.csv,2025-09-20,2485,2025-09-20,Government,"PPDC # 50,000.00",1,49500,49500,0,49500,0,0,49500,1,valid,
2025s.csv,2025-11-29,3497,2025-11-29,Government,"PAGBILAO # 10,620",1,10512,10512,0,10512,6394.9,6394.9,4117.1,0.39,valid,
2025s.csv,2025-11-29,3501,2025-11-29,Government,"PAGBILAO # 102,500",1,102220,102220,0,102220,72350.26,72350.26,29869.74,0.29,valid,
2025s.csv,2025-11-29,3496,2025-11-29,Government,"PAGBILAO # 103,100",1,102960,102960,0,102960,67716.75,67716.75,35243.25,0.34,valid,
2025s.csv,2025-11-29,3360,2025-11-29,Government,"PAGBILAO # 11,000-1",1,10956,10956,0,10956,7209.05,7209.05,3746.95,0.34,valid,
2025s.csv,2025-11-29,3362,2025-11-29,Government,"PAGBILAO # 11,000-2",1,10960,10960,0,10960,7211.68,7211.68,3748.32,0.34,valid,
2025s.csv,2025-11-29,3261,2025-11-29,Government,"PAGBILAO # 122,514.80",1,63105,63105,0,63105,45900.5,45900.5,17204.5,0.27,valid,
2025s.csv,2025-11-29,3495,2025-11-29,Government,"PAGBILAO # 125,790",1,125346,125346,0,125346,82213.15,82213.15,43132.85,0.34,valid,
2025s.csv,2025-11-29,3231,2025-11-29,Government,"PAGBILAO # 155,000",1,154660,154660,0,154660,61000,61000,93660,0.61,valid,
2025s.csv,2025-11-29,3498,2025-11-29,Government,"PAGBILAO # 17,000-1",1,16923,16923,0,16923,11135.33,11135.33,5787.67,0.34,valid,
2025s.csv,2025-11-29,3494,2025-11-29,Government,"PAGBILAO # 175,000",1,174500,174500,0,174500,112500,112500,62000,0.36,valid,
2025s.csv,2025-11-29,3263,2025-11-29,Government,"PAGBILAO # 2,900,746.89",1,143700,143700,0,143700,233362,233362,-89662,-0.62,valid,
2025s.csv,2025-11-29,3492,2025-11-29,Government,"PAGBILAO # 20,000-2",1,19900,19900,0,19900,9999,9999,9901,0.5,valid,
2025s.csv,2025-11-29,3245,2025-11-29,Government,"PAGBILAO # 28,500",1,28343,28343,0,28343,17493,17493,10850,0.38,valid,
2025s.csv,2025-11-29,3361,2025-11-29,Government,"PAGBILAO # 32,050",1,31785,31785,0,31785,17073.9,17073.9,14711.1,0.46,valid,
2025s.csv,2025-11-29,3500,2025-11-29,Government,"PAGBILAO # 32,250",1,32000,32000,0,32000,21056,21056,10944,0.34,valid,
2025s.csv,2025-11-29,3252,2025-11-29,Government,"PAGBILAO # 4,500",1,4500,4500,0,4500,2951.13,2951.13,1548.87,0.34,valid,
2025s.csv,2025-11-29,3259,2025-11-29,Government,"PAGBILAO # 400,000",1,399500,399500,0,399500,262871,262871,136629,0.34,valid,
2025s.csv,2025-11-29,3359,2025-11-29,Government,"PAGBILAO # 45,000",1,44850,44850,0,44850,13800,13800,31050,0.69,valid,
2025s.csv,2025-11-29,3250,2025-11-29,Government,"PAGBILAO # 500,000",1,498000,498000,0,498000,318838,318838,179162,0.36,valid,
2025s.csv,2025-11-29,3493,2025-11-29,Government,"PAGBILAO # 53,000",1,52920,52920,0,52920,34821.36,34821.36,18098.64,0.34,valid,
